,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Global,,Wizard,,,,Plasma,,Astronomer,,,,Weather,,Cryomancer,,,,Lightning,,Enchanter,,,,Fire,,Warlock
,,,"For every 3 levels, Magic Bolt damage increases by 5%",,,,,,"For every 3 levels, Satellite damage increases by 5%",,,,,,"For every 3 levels, Frost Nova damage increases by 5%",,,,,,"For every 3 levels, Thunderstorm damage increases by 5%",,,,,,"For every 3 levels, Meteor damage increases by 5%"
,1,,Magic Bolt level +1,,,,1,,Satellite level +1,,,,1,,Frost Nova level +1,,,,1,,Thunderstorm level +1,,,,1,,Meteor level +1
,2,,Reduces the cooldown of Magic Bolt by 20%,,,,2,,Increases the rotation speed of Satellite by 50%,,,,2,,Reduces the cooldown of Frost Nova by 20%,,,,2,,Reduces the cooldown of Thunderstorm by 20%,,,,2,,Reduces Meteor cooldown by 20%
,3,,Increases the number of Magic Bullets by 1,,,,3,,Increases the number of Satellites by 35%,,,,3,,Increases the size of Frost Nova by 20%,,,,3,,Increases the number of strikes by 35%,,,,3,,Increases number of Meteors by 1
,4,,Magic Bolt damage is increased by 20% (global),,,,4,,Satellite damage is increased by 20% (global),,,,4,,Frost Nova damage is increased by 20% (global),,,,4,,Thunderstorm damage is increased by 20% (global),,,,4,,Meteor damage is increased by 20% (global)
,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Global,,Arcane Scholar,,,,Plasma,,Summoner,,,,Global,,Bishop,,,,Plasma,,Mystic,,,,Weather,,Druid
,,,"Attack increases by 1% every level, magic options are reduced by 1 and mana cannot be recovered",,,,,,"For every 3 levels, Spirit damage increases by 5%",,,,,,"For every active shield, gain 5% all magic amplification",,,,,,"For every 3 levels, Arcane Ray damage increases by 5%",,,,,,"For every 3 levels, Cyclone damage increases by 5%"
,1,,Intelligence level +1,,,,1,,Spirit level +1,,,,1,,Guardian Angel level +1,,,,1,,Arcane Ray level +1,,,,1,,Cyclone level +1
,2,,Increases MP gain by 10%,,,,2,,Reduces the cooldown of Spirit by 20%,,,,2,,Reduces the cooldown of Shield by 20%,,,,2,,Reduces the cooldown of Arcane Ray by 20%,,,,2,,Reduces Cyclone cooldown by 20%
,3,,Increases attack by 10%,,,,3,,Increases the number of Spirits by 35%,,,,3,,Increases the number of maximum Shields by 1,,,,3,,Increases the number of rays by 35%,,,,3,,Increases number of Cyclones by 1
